"id_escola","nomefantasia"
"283","Colégio Ideal - Mamanguape"
"284","Escola Dom Diego"
"285","Colégio Monteiro Lobato"
"286","VIP QI COLÉGIO E CURSO GEISEL LTDA"
"287","Evo Cristo"
"288","Centro Educacional Primeiros Passos"
"289","Centro Educacional Zoe"
"290","Colégio Evangélico Maranata "
"291","Educandário Santo Antônio"
"292","Instituto Evangélico Pastor Antônio Petronilo dos Santos"
"293","Instituto Agras De Ensino"
"294","Expansivo Colégio e Curso Parnamirim"
"295","Gênius Colégio e Curso "
"296","Núcleo Educacional Reino da Criança"
"297","Instituto Educacional Galdino Oliveira"
"298","Espaço Infantil Girassol"
"299","Centro Educacional Jardins"
